action,actor,category,condition,confidence,counter,expected_result,phase,purpose,risk,rule_id,source_class,target,trigger
correction_required,segundo_volante,DEFENDING,occurs_in_Z26_involving_segundo_volante,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,offensive_transition,identify and correct the failure mode 'cover shadow angle wrong' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00138,C,Z26,cover_shadow_angle_wrong
correction_required,shadow_striker,DEFENDING,occurs_in_Z8_involving_shadow_striker,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,set_piece,identify and correct the failure mode 'pressing unit uncoordinated' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00139,C,Z8,pressing_unit_uncoordinated
correction_required,inverted_winger,DEFENDING,occurs_in_Z18_involving_inverted_winger,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,defensive_organisation,identify and correct the failure mode 'marking assignment miscommunicated' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00140,C,Z18,marking_assignment_miscommunicated
correction_required,box_to_box,DEFENDING,occurs_in_Z18_involving_box_to_box,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,defensive_transition,identify and correct the failure mode 'pressing unit uncoordinated' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00141,C,Z18,pressing_unit_uncoordinated
correction_required,destroyer,DEFENDING,occurs_in_Z9_involving_destroyer,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,set_piece,identify and correct the failure mode 'cover shadow angle wrong' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00142,C,Z9,cover_shadow_angle_wrong
correction_required,pressing_forward,DEFENDING,occurs_in_Z16_involving_pressing_forward,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,offensive_transition,identify and correct the failure mode 'offside line stepped individually' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00143,C,Z16,offside_line_stepped_individually
correction_required,advanced_playmaker,DEFENDING,occurs_in_Z28_involving_advanced_playmaker,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,attacking_organisation,identify and correct the failure mode 'central overload unrecognized' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00144,C,Z28,central_overload_unrecognized
correction_required,trequartista,DEFENDING,occurs_in_Z17_involving_trequartista,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,offensive_transition,identify and correct the failure mode 'handover between defenders missed' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00145,C,Z17,handover_between_defenders_missed
correction_required,target_man,DEFENDING,occurs_in_Z9_involving_target_man,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,attacking_organisation,identify and correct the failure mode 'gk distributed without scanning' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00146,C,Z9,gk_distributed_without_scanning
correction_required,defensive_winger,DEFENDING,occurs_in_Z26_involving_defensive_winger,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,attacking_organisation,identify and correct the failure mode 'wing back committed with no cover' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00147,C,Z26,wing_back_committed_with_no_cover
correction_required,carrilero,DEFENDING,occurs_in_Z17_involving_carrilero,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,defensive_transition,identify and correct the failure mode 'handover between defenders missed' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00148,C,Z17,handover_between_defenders_missed
correction_required,sweeper_keeper,DEFENDING,occurs_in_Z26_involving_sweeper_keeper,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,set_piece,identify and correct the failure mode 'offside line stepped individually' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00149,C,Z26,offside_line_stepped_individually
correction_required,traditional_winger,DEFENDING,occurs_in_Z20_involving_traditional_winger,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,defensive_transition,identify and correct the failure mode 'offside line stepped individually' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00150,C,Z20,offside_line_stepped_individually
correction_required,ball_playing_cb,DEFENDING,occurs_in_Z10_involving_ball_playing_cb,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,defensive_transition,identify and correct the failure mode 'cover shadow angle wrong' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00151,C,Z10,cover_shadow_angle_wrong
correction_required,shadow_striker,DEFENDING,occurs_in_Z6_involving_shadow_striker,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,set_piece,identify and correct the failure mode 'cover shadow angle wrong' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00152,C,Z6,cover_shadow_angle_wrong
correction_required,traditional_winger,DEFENDING,occurs_in_Z1_involving_traditional_winger,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,attacking_organisation,identify and correct the failure mode 'handover between defenders missed' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00153,C,Z1,handover_between_defenders_missed
correction_required,number_10,DEFENDING,occurs_in_Z10_involving_number_10,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,defensive_organisation,identify and correct the failure mode 'central overload unrecognized' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00154,C,Z10,central_overload_unrecognized
correction_required,wing_back,DEFENDING,occurs_in_Z7_involving_wing_back,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,defensive_organisation,identify and correct the failure mode 'pressing unit uncoordinated' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00155,C,Z7,pressing_unit_uncoordinated
correction_required,false_nine,DEFENDING,occurs_in_Z1_involving_false_nine,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,attacking_organisation,identify and correct the failure mode 'offside line stepped individually' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00156,C,Z1,offside_line_stepped_individually
correction_required,carrilero,DEFENDING,occurs_in_Z9_involving_carrilero,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,attacking_organisation,identify and correct the failure mode 'offside line stepped individually' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00157,C,Z9,offside_line_stepped_individually
correction_required,complete_forward,DEFENDING,occurs_in_Z22_involving_complete_forward,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,defensive_transition,identify and correct the failure mode 'cover shadow angle wrong' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00158,C,Z22,cover_shadow_angle_wrong
correction_required,segundo_volante,DEFENDING,occurs_in_Z3_involving_segundo_volante,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,attacking_organisation,identify and correct the failure mode 'weak side ball watching' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00159,C,Z3,weak_side_ball_watching
correction_required,false_nine,DEFENDING,occurs_in_Z13_involving_false_nine,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,attacking_organisation,identify and correct the failure mode 'wing back committed with no cover' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00160,C,Z13,wing_back_committed_with_no_cover
correction_required,cover_defender,DEFENDING,occurs_in_Z13_involving_cover_defender,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,defensive_transition,identify and correct the failure mode 'gk distributed without scanning' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00161,C,Z13,gk_distributed_without_scanning
correction_required,false_fb,DEFENDING,occurs_in_Z2_involving_false_fb,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,offensive_transition,identify and correct the failure mode 'handover between defenders missed' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00162,C,Z2,handover_between_defenders_missed
correction_required,raumdeuter,DEFENDING,occurs_in_Z7_involving_raumdeuter,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,attacking_organisation,identify and correct the failure mode 'gk distributed without scanning' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00163,C,Z7,gk_distributed_without_scanning
correction_required,complete_forward,DEFENDING,occurs_in_Z23_involving_complete_forward,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,defensive_transition,identify and correct the failure mode 'cover shadow angle wrong' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00164,C,Z23,cover_shadow_angle_wrong
correction_required,carrilero,DEFENDING,occurs_in_Z7_involving_carrilero,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,defensive_organisation,identify and correct the failure mode 'gk distributed without scanning' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00165,C,Z7,gk_distributed_without_scanning
correction_required,false_fb,DEFENDING,occurs_in_Z29_involving_false_fb,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,defensive_organisation,identify and correct the failure mode 'cover shadow angle wrong' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00166,C,Z29,cover_shadow_angle_wrong
correction_required,traditional_winger,DEFENDING,occurs_in_Z23_involving_traditional_winger,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,offensive_transition,identify and correct the failure mode 'wing back committed with no cover' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00167,C,Z23,wing_back_committed_with_no_cover
correction_required,inverted_fb,DEFENDING,occurs_in_Z29_involving_inverted_fb,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,defensive_organisation,identify and correct the failure mode 'offside line stepped individually' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00168,C,Z29,offside_line_stepped_individually
correction_required,ball_playing_cb,DEFENDING,occurs_in_Z3_involving_ball_playing_cb,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,defensive_organisation,identify and correct the failure mode 'handover between defenders missed' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00169,C,Z3,handover_between_defenders_missed
correction_required,target_man,DEFENDING,occurs_in_Z16_involving_target_man,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,attacking_organisation,identify and correct the failure mode 'rest defence understaffed' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00170,C,Z16,rest_defence_understaffed
correction_required,shot_stopper,DEFENDING,occurs_in_Z3_involving_shot_stopper,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,attacking_organisation,identify and correct the failure mode 'weak side ball watching' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00171,C,Z3,weak_side_ball_watching
correction_required,half_back,DEFENDING,occurs_in_Z6_involving_half_back,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,defensive_organisation,identify and correct the failure mode 'wing back committed with no cover' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00172,C,Z6,wing_back_committed_with_no_cover
correction_required,sweeper_keeper,DEFENDING,occurs_in_Z19_involving_sweeper_keeper,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,set_piece,identify and correct the failure mode 'marking assignment miscommunicated' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00173,C,Z19,marking_assignment_miscommunicated
correction_required,deep_lying_forward,DEFENDING,occurs_in_Z25_involving_deep_lying_forward,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,defensive_transition,identify and correct the failure mode 'pressing unit uncoordinated' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00174,C,Z25,pressing_unit_uncoordinated
correction_required,wide_playmaker,DEFENDING,occurs_in_Z27_involving_wide_playmaker,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,defensive_organisation,identify and correct the failure mode 'wing back committed with no cover' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00175,C,Z27,wing_back_committed_with_no_cover
correction_required,shot_stopper,DEFENDING,occurs_in_Z17_involving_shot_stopper,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,defensive_transition,identify and correct the failure mode 'marking assignment miscommunicated' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00176,C,Z17,marking_assignment_miscommunicated
correction_required,inverted_fb,DEFENDING,occurs_in_Z30_involving_inverted_fb,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,set_piece,identify and correct the failure mode 'wing back committed with no cover' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00177,C,Z30,wing_back_committed_with_no_cover
correction_required,half_back,DEFENDING,occurs_in_Z5_involving_half_back,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,attacking_organisation,identify and correct the failure mode 'gk distributed without scanning' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00178,C,Z5,gk_distributed_without_scanning
correction_required,advanced_forward,DEFENDING,occurs_in_Z12_involving_advanced_forward,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,set_piece,identify and correct the failure mode 'weak side ball watching' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00179,C,Z12,weak_side_ball_watching
correction_required,cover_defender,DEFENDING,occurs_in_Z16_involving_cover_defender,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,set_piece,identify and correct the failure mode 'central overload unrecognized' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00180,C,Z16,central_overload_unrecognized
correction_required,shot_stopper,DEFENDING,occurs_in_Z11_involving_shot_stopper,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,defensive_organisation,identify and correct the failure mode 'handover between defenders missed' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00181,C,Z11,handover_between_defenders_missed
correction_required,target_man,DEFENDING,occurs_in_Z18_involving_target_man,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,defensive_transition,identify and correct the failure mode 'central overload unrecognized' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00182,C,Z18,central_overload_unrecognized
correction_required,ball_winning_midfielder,DEFENDING,occurs_in_Z11_involving_ball_winning_midfielder,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,attacking_organisation,identify and correct the failure mode 'rest defence understaffed' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00183,C,Z11,rest_defence_understaffed
correction_required,trequartista,DEFENDING,occurs_in_Z22_involving_trequartista,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,offensive_transition,identify and correct the failure mode 'handover between defenders missed' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00184,C,Z22,handover_between_defenders_missed
correction_required,defensive_winger,DEFENDING,occurs_in_Z6_involving_defensive_winger,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,defensive_transition,identify and correct the failure mode 'cover shadow angle wrong' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00185,C,Z6,cover_shadow_angle_wrong
correction_required,destroyer,DEFENDING,occurs_in_Z5_involving_destroyer,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,defensive_organisation,identify and correct the failure mode 'weak side ball watching' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00186,C,Z5,weak_side_ball_watching
correction_required,carrilero,DEFENDING,occurs_in_Z25_involving_carrilero,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,attacking_organisation,identify and correct the failure mode 'central overload unrecognized' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00187,C,Z25,central_overload_unrecognized
correction_required,shadow_striker,DEFENDING,occurs_in_Z10_involving_shadow_striker,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,attacking_organisation,identify and correct the failure mode 'wing back committed with no cover' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00188,C,Z10,wing_back_committed_with_no_cover
correction_required,false_fb,DEFENDING,occurs_in_Z2_involving_false_fb,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,attacking_organisation,identify and correct the failure mode 'offside line stepped individually' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00189,C,Z2,offside_line_stepped_individually
correction_required,inverted_winger,DEFENDING,occurs_in_Z22_involving_inverted_winger,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,set_piece,identify and correct the failure mode 'weak side ball watching' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00190,C,Z22,weak_side_ball_watching
correction_required,inside_forward,DEFENDING,occurs_in_Z18_involving_inside_forward,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,attacking_organisation,identify and correct the failure mode 'weak side ball watching' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00191,C,Z18,weak_side_ball_watching
correction_required,raumdeuter,DEFENDING,occurs_in_Z17_involving_raumdeuter,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,offensive_transition,identify and correct the failure mode 'weak side ball watching' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00192,C,Z17,weak_side_ball_watching
correction_required,segundo_volante,DEFENDING,occurs_in_Z30_involving_segundo_volante,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,offensive_transition,identify and correct the failure mode 'central overload unrecognized' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00193,C,Z30,central_overload_unrecognized
correction_required,ball_playing_gk,DEFENDING,occurs_in_Z8_involving_ball_playing_gk,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,attacking_organisation,identify and correct the failure mode 'gk distributed without scanning' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00194,C,Z8,gk_distributed_without_scanning
correction_required,segundo_volante,DEFENDING,occurs_in_Z28_involving_segundo_volante,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,defensive_organisation,identify and correct the failure mode 'rest defence understaffed' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00195,C,Z28,rest_defence_understaffed
correction_required,destroyer,DEFENDING,occurs_in_Z13_involving_destroyer,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,offensive_transition,identify and correct the failure mode 'rest defence understaffed' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00196,C,Z13,rest_defence_understaffed
correction_required,complete_forward,DEFENDING,occurs_in_Z9_involving_complete_forward,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,offensive_transition,identify and correct the failure mode 'rest defence understaffed' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00197,C,Z9,rest_defence_understaffed
correction_required,attacking_fb,DEFENDING,occurs_in_Z13_involving_attacking_fb,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,set_piece,identify and correct the failure mode 'cover shadow angle wrong' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00198,C,Z13,cover_shadow_angle_wrong
correction_required,deep_lying_forward,DEFENDING,occurs_in_Z17_involving_deep_lying_forward,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,set_piece,identify and correct the failure mode 'weak side ball watching' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00199,C,Z17,weak_side_ball_watching
correction_required,number_10,DEFENDING,occurs_in_Z13_involving_number_10,medium,opponent probes a different zone/mechanism once this specific failure is corrected,the specific exploited gap in that zone is closed,offensive_transition,identify and correct the failure mode 'rest defence understaffed' before it is repeatedly exploited,"the correction itself typically reallocates coverage from elsewhere, per core KB Section 57.1's cause->correction->new-risk pattern",FL00200,C,Z13,rest_defence_understaffed
blocking_run_set_piece,wing_back,ATTACKING,executed_by_wing_back,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,set_piece,apply the blocking run set piece pattern (core KB Section 57.2) in Z10,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00001,C,Z10,conditions_favorable_for_blocking_run_set_piece_in_Z10
baited_press_then_switch,wide_cb,ATTACKING,executed_by_wide_cb,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,attacking_organisation,apply the baited press then switch pattern (core KB Section 57.2) in Z2,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00002,C,Z2,conditions_favorable_for_baited_press_then_switch_in_Z2
cutback_over_cross,deep_lying_forward,ATTACKING,executed_by_deep_lying_forward,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,set_piece,apply the cutback over cross pattern (core KB Section 57.2) in Z21,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00003,C,Z21,conditions_favorable_for_cutback_over_cross_in_Z21
delayed_offside_beating_run,trequartista,ATTACKING,executed_by_trequartista,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,set_piece,apply the delayed offside beating run pattern (core KB Section 57.2) in Z24,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00004,C,Z24,conditions_favorable_for_delayed_offside_beating_run_in_Z24
counterpress_to_shot,full_back,ATTACKING,executed_by_full_back,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,offensive_transition,apply the counterpress to shot pattern (core KB Section 57.2) in Z14,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00005,C,Z14,conditions_favorable_for_counterpress_to_shot_in_Z14
false_nine_disruption,false_fb,ATTACKING,executed_by_false_fb,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,set_piece,apply the false nine disruption pattern (core KB Section 57.2) in Z8,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00006,C,Z8,conditions_favorable_for_false_nine_disruption_in_Z8
counterpress_to_shot,inverted_fb,ATTACKING,executed_by_inverted_fb,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,attacking_organisation,apply the counterpress to shot pattern (core KB Section 57.2) in Z17,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00007,C,Z17,conditions_favorable_for_counterpress_to_shot_in_Z17
counterpress_to_shot,false_fb,ATTACKING,executed_by_false_fb,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,set_piece,apply the counterpress to shot pattern (core KB Section 57.2) in Z4,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00008,C,Z4,conditions_favorable_for_counterpress_to_shot_in_Z4
blocking_run_set_piece,box_to_box,ATTACKING,executed_by_box_to_box,medium,opponent recognizes the pattern after repeated use and pre-emptively adjusts,a structural or individual advantage is converted into a tangible attacking outcome,set_piece,apply the blocking run set piece pattern (core KB Section 57.2) in Z17,success depends on precise timing/execution; a mistimed attempt wastes the structural advantage created,SC00009,C,Z17,conditions_favorable_for_blocking_run_set_piece_in_Z17
